Type,Function,Digit,Time(ms)
i64toa_sequential,count,8,9.844000
i64toa_sequential,count,9,11.553000
i64toa_sequential,count,10,12.705000
i64toa_sequential,count,11,14.003000
i64toa_sequential,count,12,16.392000
i64toa_sequential,count,13,17.540000
i64toa_sequential,count,14,19.185000
i64toa_sequential,count,15,20.897000
i64toa_sequential,count,16,22.641000
i64toa_sequential,count,17,24.414000
i64toa_sequential,count,18,26.122000
i64toa_sequential,count,19,28.099000
i64toa_sequential,count,20,29.087000
i64toa_random,count,0,312.900000
i64toa_sequential,sse2,1,0.838000
i64toa_sequential,sse2,2,0.867000
i64toa_sequential,sse2,3,0.895000
i64toa_sequential,sse2,4,0.885000
i64toa_sequential,sse2,5,1.168000
i64toa_sequential,sse2,6,1.203000
i64toa_sequential,sse2,7,1.212000
i64toa_sequential,sse2,8,1.258000
i64toa_sequential,sse2,9,2.456000
i64toa_sequential,sse2,10,2.457000
i64toa_sequential,sse2,11,2.443000
i64toa_sequential,sse2,12,2.442000
i64toa_sequential,sse2,13,2.445000
i64toa_sequential,sse2,14,2.443000
i64toa_sequential,sse2,15,2.461000
i64toa_sequential,sse2,16,2.429000
i64toa_sequential,sse2,17,4.741000
i64toa_sequential,sse2,18,4.720000
i64toa_sequential,sse2,19,4.813000
i64toa_sequential,sse2,20,4.911000
i64toa_random,sse2,0,73.558000
