Type,Function,Digit,Time(ns)
i64toa_sequential,null,15,2.222097
i64toa_sequential,null,16,2.222097
i64toa_sequential,null,17,2.222097
i64toa_sequential,null,18,2.222097
i64toa_sequential,null,19,2.222097
i64toa_sequential,null,20,2.222097
i64toa_random,null,0,2.229355
i64toa_sequential,sse2,1,5.616658
i64toa_sequential,sse2,2,6.498797
i64toa_sequential,sse2,3,6.867285
i64toa_sequential,sse2,4,6.722123
i64toa_sequential,sse2,5,11.210983
i64toa_sequential,sse2,6,11.914461
i64toa_sequential,sse2,7,12.115454
i64toa_sequential,sse2,8,12.148953
i64toa_sequential,sse2,9,17.196129
i64toa_sequential,sse2,10,17.296626
i64toa_sequential,sse2,11,17.196129
i64toa_sequential,sse2,12,17.196129
i64toa_sequential,sse2,13,17.196129
i64toa_sequential,sse2,14,17.196129
i64toa_sequential,sse2,15,17.196129
i64toa_sequential,sse2,16,16.715977
i64toa_sequential,sse2,17,15.085695
i64toa_sequential,sse2,18,15.286688
i64toa_sequential,sse2,19,16.827640
i64toa_sequential,sse2,20,16.849973
i64toa_random,sse2,0,30.614134
